source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
1D7E8A2A-7AFE-49C8-BA93-D1280B9B4EBC,Ekholmsskolan (Lillholmsskolan),Ekholmsvägen 192,,"Restaurang-, catering- och barverksamhet",7.0,2024-10-28,Utan avvikelse,7,59.279936310383135,17.907030716936916,Stockholms stad livsmedelskontroll
72958AF1-2D70-4131-B053-FE7A16B23FC8,Eklinds mat,Finska gatan 40,,Detaljhandel,7.0,2025-10-07,Utan avvikelse,17,59.28415139062818,18.06760654241023,Stockholms stad livsmedelskontroll
D05A03FB-76CD-445A-96C6-898EC6BB6336,Ekogross i Stockholm AB,Domnarvsgatan 27,,Partihandel,8.0,2025-02-20,Utan avvikelse,6,59.394829155980055,17.876355061531182,Stockholms stad livsmedelskontroll
C9520FBD-5C7B-487A-A32D-EFBDF20F8E05,Ekstedt,Humlegårdsgatan 17,,"Restaurang-, catering- och barverksamhet",6.0,2025-06-24,Utan avvikelse,17,59.336743057725506,18.074938807462882,Stockholms stad livsmedelskontroll
B936547D-5E41-4CC0-8E9B-3FC8A37D0D10,"El Arepazo, Food Truck",,,"Restaurang-, catering- och barverksamhet",6.0,2025-10-01,Utan avvikelse,28,,,Stockholms stad livsmedelskontroll
D145915F-9E38-4A4A-9C1C-6B8E99F76EF8,Elite Hotel Arcadia,Körsbärsvägen 1,,"Restaurang-, catering- och barverksamhet",7.0,2024-06-18,Utan avvikelse,7,59.348355388677454,18.064435977498544,Stockholms stad livsmedelskontroll
01424B1A-43EC-4888-984C-4E018D7B5BDA,Enbi Sushi,Mariehällsvägen 31,,"Restaurang-, catering- och barverksamhet",7.0,2025-02-13,Utan avvikelse,12,59.36262736523643,17.955195912118896,Stockholms stad livsmedelskontroll
D3E0BEF3-9D62-4321-8049-6DA58C3AE353,Enskede Thai,Postiljonsvägen 2A,,"Restaurang-, catering- och barverksamhet",5.0,2025-10-15,Utan avvikelse,17,59.27322840877946,18.06762623226644,Stockholms stad livsmedelskontroll
E4EF30F2-2CCB-4668-9957-5F265F1FF764,Enskede kök och deli,Svedmyrastigen 7,,Detaljhandel,,2025-10-03,Avvikelse,2,59.27849162202307,18.074232331431084,Stockholms stad livsmedelskontroll
AFDD0692-E612-42E9-AB58-B1B60E3AAEF8,Enskedefältets Skola,Sockenvägen 370A,,"Restaurang-, catering- och barverksamhet",4.0,2024-10-17,Utan avvikelse,7,59.28328109145341,18.069874139455735,Stockholms stad livsmedelskontroll
376C3061-1D3A-41EC-B69B-A0FE9171FB2F,Enskilda Gymnasiet,Tegnérlunden 5,,"Restaurang-, catering- och barverksamhet",4.0,2024-02-20,Utan avvikelse,8,59.33788384312455,18.05547238730703,Stockholms stad livsmedelskontroll
0807DF6E-44CD-4403-A804-3B07AE30A922,Erees Pizzeria,Havsörnsgränd 5,,"Restaurang-, catering- och barverksamhet",,2024-02-27,Utan avvikelse,7,59.24642719137429,18.062346958972032,Stockholms stad livsmedelskontroll
2D15FAB4-CD3C-4FA5-A826-51671DDDA2B0,Ernas Cafe,Brantingsgatan 27,,"Restaurang-, catering- och barverksamhet",7.0,2024-03-18,Utan avvikelse,9,59.345867468469706,18.095926319258346,Stockholms stad livsmedelskontroll
8874F042-E338-4724-BBC8-4EEA83577F80,Ersta Minigolf,Folkungagatan 147,,"Restaurang-, catering- och barverksamhet",,2024-06-25,Utan avvikelse,12,59.31568966067201,18.09301434004073,Stockholms stad livsmedelskontroll
74993F73-128C-444D-A185-5CA2DA80E314,Esa Sushibar,Torsgatan 45,,"Restaurang-, catering- och barverksamhet",5.0,2025-08-19,Utan avvikelse,19,59.34143604582297,18.037342770076094,Stockholms stad livsmedelskontroll
46E86E5B-23A0-47C0-9014-D8AD9EC1264D,Espresso House C Övre Hallen,Klarabergsviadukten 49,,"Restaurang-, catering- och barverksamhet",7.0,2025-09-02,Utan avvikelse,16,59.33058415745245,18.057448881927602,Stockholms stad livsmedelskontroll
FC7F6540-F729-4579-9171-1C7EF936E62F,Espresso House Citybanan,Vasagatan 22T,,"Restaurang-, catering- och barverksamhet",7.0,2025-01-21,Utan avvikelse,15,59.33090729596291,18.05941373496556,Stockholms stad livsmedelskontroll
BC5A5330-A31E-4D4F-850C-79FAA3D563C8,Espresso House Odenplan,Karlbergsvägen 10,,"Restaurang-, catering- och barverksamhet",7.0,2024-01-23,Utan avvikelse,6,59.34319131761551,18.049734350351294,Stockholms stad livsmedelskontroll
82A2F3C6-A73C-4BE9-A901-3F67043489CF,Espresso House Regeringsgatan,Regeringsgatan 52,,"Restaurang-, catering- och barverksamhet",5.0,2025-01-16,Utan avvikelse,16,59.33485285876232,18.067889205621896,Stockholms stad livsmedelskontroll
632EBF05-AA6F-4324-913F-60DC1CF03368,Espresso House Sveavägen,Sveavägen 82,,"Restaurang-, catering- och barverksamhet",7.0,2025-01-20,Utan avvikelse,13,59.34063807777506,18.059061700264873,Stockholms stad livsmedelskontroll
FB2B8736-51A0-4ADB-A995-3F0257C04B38,Espresso House Vasagatan,Vasagatan 15,,"Restaurang-, catering- och barverksamhet",7.0,2025-10-08,,14,59.3333681238403,18.056624574732815,Stockholms stad livsmedelskontroll
BBE6D2F8-569C-4097-8004-0F8BAB0B1FE4,Espresso House Vällingby,Vällingby Torg 77,,"Restaurang-, catering- och barverksamhet",5.0,2025-02-24,Utan avvikelse,13,59.36329993168325,17.87258361200446,Stockholms stad livsmedelskontroll
998C2691-3EA6-45F7-BE00-638F613FEF7E,Essingekiosken,Essingetorget 48,,Detaljhandel,7.0,2025-09-18,,18,59.32037279212019,17.98816307958757,Stockholms stad livsmedelskontroll
E9B7943F-1ED8-4E66-B4DB-FF8F57214311,Essingens Apotek,Essinge brogata 8,,Detaljhandel,,2024-01-23,Utan avvikelse,7,59.32516830153965,18.00697096088437,Stockholms stad livsmedelskontroll
1BB6E25C-8A70-46A7-A601-9E7F692C69D5,Eth Frukt & Grönt AB,Minuthandlarvägen 2,,Partihandel,7.0,2025-06-04,Utan avvikelse,8,59.29624936975973,18.03134388131069,Stockholms stad livsmedelskontroll
DC13311B-C91F-4A27-813E-202E8D68FCFE,Eurenii Minne akut utredning och föräldrastöd,Björnsonsgatan 251D,,"Restaurang-, catering- och barverksamhet",,2025-04-04,Utan avvikelse,6,59.346488297202775,17.876427157360652,Stockholms stad livsmedelskontroll
2FA91B49-20F3-4E60-87F3-6E21933F52F9,Europaskolan i Vasastan,Luntmakargatan 101,,"Restaurang-, catering- och barverksamhet",5.0,2025-02-18,Utan avvikelse,7,59.34408601975804,18.056958753249823,Stockholms stad livsmedelskontroll
77528CBD-B886-4E78-988D-86AFADB7DE2C,Eventpersonal.se,,,"Restaurang-, catering- och barverksamhet",8.0,2024-05-13,Utan avvikelse,4,,,Stockholms stad livsmedelskontroll
76BFE7E3-B7BC-479B-892C-79F74EA64552,FROST Strandvägen,,,"Restaurang-, catering- och barverksamhet",8.0,2025-08-13,,10,,,Stockholms stad livsmedelskontroll
